Gene	t1_gene_score	t1_SIEG_score
MED18	0	-0.43962773
HAUS1	0.785067105	2.925194798
INTS2	1.745424001	7.009267424
PLK1	1.554497171	6.178159293
RPP38	0.283799036	0.789594015
C1orf109	0.722848161	2.648518384
SS18L2	1.190961518	4.664700587
HAUS3	0.362780053	1.112411154
EXOSC8	1.654917313	6.659811717
HINFP	0	-0.43962773
RNF113A	0.531757715	1.851851066
EXOSC3	2.306887981	9.40510342
HAUS7	0.585086053	2.065264905
ZMAT5	1.268345354	4.97858695
BRF2	0.081329318	-0.076148444
SRBD1	0.048094099	-0.245745472
POLR3K	0.552034993	1.934294261
RFC4	2.365720771	9.646280486
NLE1	0.76485007	2.859605759
PGGT1B	0	-0.43962773
YARS2	0.80603313	3.003877743
MED6	1.233829124	4.801921255
RCL1	-0.033268029	-0.576476908
RFC5	1.374371837	5.415192416
SBNO1	1.654518628	6.627913692
DBR1	0.759616643	2.8112438
SNAPC4	0.438278375	1.446151207
PPWD1	0	-0.43962773
CDC20	2.706021065	11.08422084
NKAP	0	-0.43962773
POP5	1.450978218	5.785044759
NRF1	0.483385997	1.609914597
DDX20	0.499445604	1.684975802
HAUS5	1.507785768	5.979043994
USPL1	0.175706285	0.295398597
INTS9	0.003039036	-0.423874111
KIF11	2.759579858	11.31873975
POLA2	1.605413252	6.414896812
RPP21	1.739368864	7.034735784
YRDC	0.202845994	0.430648166
GMPPB	0.274190557	0.710668843
CENPN	0.978096605	3.731446134
RNGTT	0.29718224	0.841988339
RPF2	0.264761903	0.703141714
MRPS14	0.440232608	1.440630386
PAK1IP1	0.377871969	1.18442066
INCENP	2.47298348	10.08199647
PHAX	0.560450005	1.942591659
TTC27	0.153298631	0.214850971
MAK16	0.20566093	0.462729871
ABCB7	0	-0.43962773
TRMT5	0.382788725	1.176270781
UTP23	0.401361254	1.250846261
GPN3	0	-0.43962773
OSGEP	0.364052187	1.118484668
CCDC94	1.386552151	#N/A
SNRNP35	1.07713737	4.153029245
SNAPC2	0.258995991	0.664340834
SARS2	0.76173255	2.834699326
TOP3A	0	-0.43962773
SNRPA1	2.073065598	8.430579772
WDR12	1.147037443	4.460932196
NAA38	1.799965195	7.26352392
ANAPC4	0.23225039	0.545500398
POLD3	0.893222212	3.359845047
CDK1	2.935783507	12.05812131
RIOK2	-0.010215256	-0.480422229
DDX55	2.020446358	8.155459626
NEDD1	1.752264223	7.02431606
NOC4L	2.166805324	8.831553321
MED20	0.624933153	2.225073064
SNAPC3	0.096720856	-0.037134616
CINP	0.928790254	3.531044012
POLR3A	1.395863752	5.496828092
RIOK1	1.594823013	6.357473387
ERCC2	0.371819364	1.156189596
EIF2B3	0.716728242	2.610246385
GTF2H4	1.140597493	4.440208541
EXOSC2	2.145003904	8.701716227
CHAF1A	2.427125718	9.894790704
PDCD7	0	-0.43962773
BYSL	2.6958725	11.05788197
NVL	0.776698014	2.865155325
WDR70	0	-0.43962773
TIMM10	1.633040925	6.582434244
NUBP1	0.215609528	0.474957552
NUP155	2.430372683	9.90771267
EXOSC4	2.109559299	8.599583184
POLR1C	1.255096415	4.967334315
TFAM	0.577087104	2.01144006
EIF4E	0.342325018	0.995873959
MVK	0.059454142	-0.178770222
INTS4	0.268473361	0.682810179
TUBGCP3	0.46945376	1.550349502
ZNF131	1.316226071	5.15837945
ELL	0	-0.43962773
PPAN	1.393656209	5.531074929
CCNH	0.428618882	1.382153952
POLR3C	0.120413217	0.083974698
CPSF4	1.651683487	6.639233903
DDX10	0	-0.43962773
TRIAP1	1.302552715	5.128213445
DTYMK	2.873483614	11.82702161
SNRNP27	0	-0.43962773
SUPV3L1	0.120413217	0.083974698
C9orf114	0.957276386	3.671656829
ZNF574	0.373413163	1.154792198
GTF2B	0.273719611	0.721004038
POLR2D	1.547015846	6.147496731
CHMP6	1.245352317	4.870757114
RRS1	0.996615656	3.841235027
NSL1	0.017980022	-0.363917465
CTDP1	0	-0.43962773
RRM2	1.480156704	5.851946914
EXOSC7	1.235559021	4.857759513
ECD	0.101207096	-0.01179437
THOC5	0.278794164	0.733935376
GEMIN5	1.174614951	4.566121209
POLR2I	1.521054788	6.081290823
CWC22	1.344165635	5.268184388
SNRNP25	0.960626502	3.675778123
NIP7	1.386216603	5.470724183
RACGAP1	1.720998835	6.872548077
DHX37	1.417718918	5.586825776
GTF2E2	0.047042029	-0.233074035
POLD1	1.565944007	6.260478171
RCC1	1.299285168	5.096695509
PNKP	0.650484354	2.357128485
SMC2	1.811984307	7.265196078
PRC1	1.565219489	6.219243893
TUT1	0.171478656	0.292494824
FNTB	0.025396967	-0.327515187
POLR1B	1.272727011	4.945900217
CSTF3	0.527280029	1.8203256
RPAP1	0.086754782	-0.078607328
SRP19	0	-0.43962773
PSMG3	1.841615076	7.463704324
NARFL	1.15942516	4.506954799
DMAP1	1.205182542	4.707426938
LSM7	2.674730563	11.03849177
UTP20	1.521550821	6.033623792
MRPL53	2.054865924	8.381867715
EIF2B2	0.379447657	1.161451421
ATR	1.304467396	5.124482878
ALG1	0.08810177	-0.067071249
PCID2	0.334880738	0.976654739
LSM2	3.108187168	12.84763562
RFC2	2.234182312	9.107746385
KRR1	1.518309564	6.009714667
ISG20L2	2.073679718	8.388197005
RRP1	1.746235093	7.039922913
WDR74	1.873735803	7.596297883
TIMM44	1.111819448	4.324234518
BCAS2	0.325686113	0.947408348
BRF1	0.485330315	1.630029125
POLR1A	1.698532957	6.79203668
DNAJC9	3.024949126	12.44455342
BRIX1	3.05220989	12.56887127
NOL10	2.001220585	8.090770772
PWP2	0.893702943	3.359549762
PISD	0	-0.43962773
TPX2	1.818112045	7.293753355
FCF1	0.700802845	2.550593886
GRPEL1	0.323676501	0.962988129
CDC23	0.855728107	3.187818154
NUP85	2.607578376	10.67169124
NUP88	0.263168272	0.661275452
INTS8	1.865302585	7.525601691
MDN1	1.967738513	7.959164006
WDR3	1.302037579	5.077797589
DHDDS	0.025396967	-0.327515187
IMP4	1.590925843	6.378250458
DGCR8	0.926371917	3.509346803
RAE1	1.61502748	6.456112153
ANAPC2	0.464227545	1.547233447
GTF2A2	0.757796573	2.800608911
C21orf59	0.227953268	0.534790494
MFAP1	0	-0.43962773
PRPF4	1.36541243	5.370645822
WDR77	0.798985681	2.969175228
HAUS4	0	-0.43962773
VARS2	0.119807095	0.076933297
WDR75	1.240123552	4.857128559
PLRG1	0	-0.43962773
WEE1	0	-0.43962773
SNRPD1	2.260011521	9.240246061
MPHOSPH10	0.986329931	3.787087047
EIF2B4	0.792614912	2.940058695
PRPF38A	0.638732308	2.26174383
SNRPF	2.415221524	9.915189868
ALG2	0.062753203	-0.172293502
POLE	1.276651098	5.005594138
TOPBP1	1.925443983	7.752064505
CRNKL1	0.245247623	0.610050493
WDR61	0	-0.43962773
GGPS1	0.150212528	0.209501045
AQR	1.58740074	6.343379848
UPF2	0.987036968	3.765041225
POLRMT	0.783434986	2.918449557
MRPL45	0.214410615	0.492711109
THOC3	0.739105108	2.710844257
PSMD12	1.197656615	4.663408066
CPSF3	2.412458753	9.843801478
TUBGCP6	0.34448981	1.025574416
MED4	0.160214099	0.268894247
SEH1L	0.246878416	0.619727838
GPN1	1.314706337	5.17008136
TXNL4A	1.091184156	4.246926978
NOP2	2.667771218	10.92970919
NCBP1	1.747935035	6.997223802
GRWD1	1.859119925	7.494482113
COQ4	1.224502804	4.775051669
RABGGTB	0	-0.43962773
RRP12	0.766196483	2.843886717
SDAD1	0.262112039	0.656856946
DPAGT1	0.167750977	0.265294173
SACM1L	0.291017762	0.786189506
WDR43	2.018759127	8.151489326
POLR2H	1.98500758	8.061689929
SCFD1	0	-0.43962773
DIS3	0.616306806	2.192155325
DHX16	0.332416848	0.987957779
MCM6	2.782112339	11.39688572
CDC73	0.760029841	2.801647188
LAS1L	0.875969773	3.325980795
PFDN2	1.84123411	7.471011789
HEATR1	2.508670013	10.25972536
DHPS	0.955452541	3.637545105
TTC1	0.409939315	1.314662536
NUP93	1.039324508	3.977454311
ADSL	1.094830205	4.21134513
ACTR10	0.136319328	0.143413185
FARSB	1.562190665	6.20946371
TNPO3	1.362988627	5.367199523
SYS1	0	-0.43962773
TSR2	0.147803437	0.185597928
DDX49	1.962707845	7.972153333
RPA2	0	-0.43962773
IPO13	0	-0.43962773
POLR2G	1.536544322	6.128863187
SLC35B1	0.510627337	1.751229982
TUBG1	1.318308115	5.182596975
CCNK	1.030972137	3.962125666
SLU7	0.169650633	0.296483159
NMD3	0.717360981	2.618456836
ROMO1	1.890623704	7.674598943
ERCC3	0.117331668	0.066250394
UXT	1.390770308	5.52490631
COPS3	0.207704926	0.449112036
LSG1	1.79413754	7.188090642
TBL3	0.971087786	3.71941768
RBX1	1.466396134	5.861782491
NAA10	2.526635211	10.37895884
SAMM50	0.235696093	0.549198522
CDC5L	0.658347796	2.35232402
PRPF38B	0.273152275	0.727829476
GTPBP4	2.540472411	10.37780326
HDAC3	0.223635473	0.525448065
MCM2	2.644458614	10.80839937
DHX8	1.170057161	4.526835525
ACTL6A	2.82825273	11.6001783
DDX47	0.408479769	1.291339124
CDC123	2.272190106	9.250599526
POLR3H	0.452127015	1.497940893
EIF2B1	0.817324868	3.016589685
PSMD6	0.362000538	1.135880483
PSMC6	0.327714652	0.965305707
NUP160	1.913161768	7.702960941
TSR1	1.179154784	4.541641133
MRPL4	1.78820403	7.224846058
NUP133	0.932544705	3.516624876
VPS25	0.594277288	2.116852466
RPL7	0.762591951	2.787893195
GMPS	2.765707056	11.31913307
TOP2A	1.771645339	7.102788704
MRPL43	1.468538594	5.838880194
MYBBP1A	0.94967415	3.605705941
USP39	1.358072955	5.355280962
CNOT3	1.180224249	4.58928907
RNF20	0.086861222	-0.067792898
MRPL28	1.950288292	7.894157113
TRAPPC3	0.808268225	2.991177485
MRPL38	1.825632479	7.395351554
RBM14	0.961288871	3.661758893
CEBPZ	1.165967062	4.540362404
GFM1	0.968035757	3.675577206
COPS5	0.336062559	1.002440111
TIMM13	1.542464877	6.178957949
SRP54	0	-0.43962773
PPIL2	0.059509822	-0.186105405
MCM4	2.812665531	11.52503013
ARL2	0.206066765	0.438716115
RBBP6	0.507648821	1.734018821
CDK9	0.354671203	1.075982323
IMP3	0.716117279	2.629649071
MRPS24	2.115101432	8.624727798
CPSF2	1.492001048	5.893602114
GTF3C5	1.717655047	6.888098615
PMPCA	1.013459519	3.911269862
EIF2B5	0.918159	3.452076669
UROD	1.172468472	4.557722908
TOMM40	1.687424293	6.787068857
THOC2	1.080030451	4.176204782
NOL6	0.539501674	1.84748468
NSF	0.121825805	0.076182622
CTR9	0.366696936	1.094363512
SART3	0.088553658	-0.058251036
MCM5	1.965615825	7.926707272
PSMD11	1.485491241	5.882628166
MRPS34	2.08711042	8.502530727
FTSJ3	0.483541522	1.607595528
NUS1	0.239241614	0.58112719
PSMD14	1.225082797	4.793647752
NAT10	1.182318666	4.596622362
CDC27	0.223233598	0.518477572
ATP6V1D	0.326615773	0.93875704
NOP58	2.935355062	12.07938271
DNAJA3	0.246430249	0.630844841
CDC16	0.546371553	1.870320632
PRMT5	0.744355144	2.70979709
XAB2	0.757912468	2.805126671
PRPF31	1.144520454	4.482243438
CTCF	0.707558812	2.608798366
BUD31	2.374719512	9.738193954
SMC4	1.733648547	6.926975895
SNW1	0.585039059	2.050631192
DCTN5	-0.024010407	-0.534538546
WDR33	0	-0.43962773
DDX27	1.029749638	3.951300593
TAF6	0.094672473	-0.031898948
PREB	0.635918081	2.26516732
GTF3C2	1.160741342	4.492158226
PSMA3	0.946335971	3.586610969
ABCE1	2.321102918	9.445498082
SF3A2	0.809525045	3.034238896
RBM17	0.641249798	2.29008871
NHP2	2.475245743	10.19305408
MEPCE	0	-0.43962773
RRM1	1.9327508	7.778904778
ELAC2	0.294177249	0.793408726
ARIH1	1.026190173	3.930061512
FARSA	2.199308046	8.957946404
DYNC1I2	0.055363985	-0.20234376
TSG101	0	-0.43962773
DDX21	2.134117854	8.659509375
CHERP	0.622317013	2.217472315
SMU1	0.211202791	0.458789981
IGBP1	0.73906524	2.740649668
GNL3	0.74931521	2.781813132
PMPCB	0.059573929	-0.186257953
EIF2S1	1.545901858	6.125455793
NSA2	0.994070909	3.830530138
DDX41	0.662029005	2.387295925
POLR2C	0.047131003	-0.241941115
NUP214	0.349261754	1.027900029
DNMT1	2.368066718	9.631967728
PTPN23	0	-0.43962773
SF3B5	1.774414816	7.178316334
WBSCR22	1.062797541	4.128501084
DKC1	3.296650075	13.58807021
TRAPPC1	0.800894821	2.977565198
AFG3L2	0.067920408	-0.151648174
TUBGCP2	0	-0.43962773
SLMO2	0.762073339	2.81181335
CLNS1A	0.338749209	0.991988753
DDX56	1.705653725	6.862380861
ANKLE2	0	-0.43962773
MYC	0.167458109	0.287601785
ISCU	1.312318245	5.144822736
SF3A3	1.251413086	4.895822412
DDX18	1.748323341	7.013173387
U2AF1	0.987426468	3.793649383
NXF1	0.976676853	3.712926834
UQCRFS1	0.34777979	1.039106098
RBM25	0.681502004	2.463485856
POLR2L	1.132035294	4.412054246
PSMA5	1.667645881	6.692347335
SNRPD3	1.365289782	5.42807173
PES1	1.39540728	5.530780879
SRRM1	0.448709498	1.479537656
NCBP2	1.213387515	4.726201992
EIF2S2	2.348754649	9.565883028
ERH	1.615120315	6.453537413
TBCD	0.044506811	-0.247695426
MCM3AP	0	-0.43962773
RPL18A	0.922198689	3.483042719
DDX54	1.033717965	3.985725139
PSMB6	1.400987025	5.58099552
PSMC2	0.094672473	-0.031898948
NUTF2	2.426891958	9.937598931
TRRAP	0.806049572	3.010461559
LSM4	2.600771656	10.70169069
RUVBL2	1.980218757	8.038775745
BUB3	1.335434646	5.267007316
ABCF1	1.220971733	4.760562369
CPSF1	0.972934363	3.736295443
CIAO1	0	-0.43962773
EIF4A3	2.347319339	9.555008338
NUDT21	0.922894443	3.510543644
POLR2B	1.300394957	5.085033104
RPA1	0.328664802	0.950392795
NEDD8	1.563622305	6.26202196
TARS	0.945645727	3.583507166
SRRT	1.702570765	6.826563448
INTS3	0.337214166	1.000466995
PRELID1	1.313921826	5.20381203
YARS	0.839706412	3.120713964
PPP4C	1.596898271	6.39477421
SF3B4	0.747438513	2.751055081
LUC7L3	0.962745409	3.658819304
PSMC4	1.05976542	4.117910524
PRPF40A	1.744972792	6.992377748
UBE2I	0.74943535	2.749864046
MARS	0.61040404	2.134904304
PCNA	1.919080283	7.742284372
UBL5	1.767676606	7.147180043
SAE1	1.110698334	4.30018218
LONP1	0.787847836	2.920316539
VARS	0.879884311	3.329190601
ATP6V1A	0.198603491	0.412325752
GBF1	0.486501531	1.629904194
COX5B	1.469414043	5.848598662
VPS28	1.359516328	5.357530578
COPS6	1.506318902	6.007052617
SYMPK	0.337909627	1.02649952
POLD2	1.359586124	5.404151665
MCM3	2.582878399	10.55674062
NOP56	3.019434599	12.43440661
PSMA6	0.790202951	2.935583293
SEC13	0.541921697	1.892960535
PSMB2	1.230565894	4.800621491
EFTUD2	2.192747211	8.887705694
ATP6V0D1	0.095062349	-0.035307537
PSMD1	0.035074809	-0.293300534
GPS1	1.612354543	6.465340951
CKAP5	2.581248506	10.55204308
USP5	-0.014220392	-0.498122865
HCFC1	1.233054705	4.790601926
PSMB5	0.961669734	3.691185992
NUDCD3	0	-0.43962773
PSMB7	1.524530918	6.120197638
LARS	0.399322067	1.244814289
PSMA1	0.339832218	0.999939116
PSMA2	0.95368471	3.649013271
TRMT112	1.45994668	5.84489443
ATP6V1B2	0.147508487	0.180289005
PSMB3	1.791820377	7.260110192
SMC1A	1.646127122	6.570040838
NUDC	1.753547953	7.063780844
CHMP2A	1.805988772	7.265126228
CSE1L	2.692465605	11.02668824
PSMA4	1.848825294	7.486498917
PSMD13	1.51667176	6.075068013
TOP1	1.198676814	4.658454867
PRMT1	1.629463171	6.550447955
DHX15	1.963733078	7.917012524
ANAPC5	0.919711325	3.455261069
PSMC3	1.409540537	5.626844167
MCM7	3.116775545	12.84735522
ATP6V1E1	0.147224106	0.189998277
AAMP	0	-0.43962773
IARS	1.789021491	7.186094777
DAD1	0.328787309	0.957517807
NHP2L1	1.631179827	6.560453292
NMT1	0.227953268	0.534790494
OGT	0.62230653	2.214506064
BANF1	2.708759779	11.17217302
SSU72	0.541927688	1.885090283
RANGAP1	1.049516209	4.054591537
SAP18	0.0971737	-0.030186402
GTF3C1	0	-0.43962773
POLR2E	0.838556853	3.158540979
ATP6V0B	1.256218198	4.933631027
NAA50	1.882594997	7.559332859
EIF3G	1.804848344	7.335214082
NPLOC4	0.236314623	0.568677138
SNRPD2	2.240572537	9.184362846
PAFAH1B1	-0.014125676	-0.500072737
PSMC5	0.778918466	2.909881295
SF3A1	0.510081248	1.742291199
SARS	0	-0.43962773
PPP2CA	0.094672473	-0.031898948
UBTF	0	-0.43962773
INTS1	0.793456316	2.952948544
PRPF19	0.846556603	3.174522267
PSMD3	0.42565991	1.386259348
UPF1	0.24178608	0.593920788
PSMB1	1.181317558	4.639207057
KARS	0.938271332	3.553564435
EPRS	1.199490992	4.650170865
SUPT6H	0	-0.43962773
CCT2	0.811131625	3.009044593
PSMD4	1.237502396	4.88694196
EIF6	1.56639184	6.269043675
COPB1	0.701512585	2.555452383
SNRNP70	1.116980845	4.331020996
GSPT1	0.554159335	1.916232767
PRPF6	0.202620553	0.426502251
NARS	0.102979817	-0.005385222
PUF60	1.332313039	5.294643778
U2AF2	1.005157367	3.850882719
RBMX	0.716727452	2.625787329
PSMA7	2.020196657	8.207311779
SUPT5H	0.095353754	-0.013470043
NAPA	0.525622579	1.778570404
PHB	1.078852126	4.2033284
DNM2	0.022145809	-0.346014577
CDC37	1.224438157	4.805914658
GUK1	1.480698997	5.908114417
CCT8	0.467238786	1.561540635
COX6B1	2.217434899	9.069171242
OGDH	0.186853233	0.359102627
XPO1	1.644878452	6.560877497
SNRPB	2.265254527	9.270122722
QARS	0.371172351	1.131535533
RSL1D1	0.504645796	1.671440443
SF3B3	1.415326313	5.591102785
PHB2	0.756357736	2.812036137
SSRP1	1.896120958	7.631992302
COPB2	0.343831339	1.033018158
TCP1	0.515142725	1.767857214
COPZ1	0.468136076	1.551270599
CCT4	2.2618578	9.199194209
ATP6V0C	0.52349677	1.793531391
WARS	-0.196068612	-1.281747562
DHX9	2.624283184	10.74164174
ARCN1	0.273574064	0.721309488
EIF5	0.263168272	0.661275452
EIF3I	1.987448332	8.082305184
RPL23A	0.616782986	2.17347072
CCT6A	1.821734531	7.314574886
RAN	1.93617011	7.816887113
AHCY	0.735485374	2.729666201
EIF2S3	0.458498011	1.493549474
RAD21	1.492951933	5.900664204
SFPQ	1.811151861	7.282347411
EIF3D	1.435187341	5.731115877
SF1	0.094672473	-0.031898948
PSMD2	1.355994638	5.319626876
KPNB1	2.426194389	9.877637313
EIF3B	1.888300462	7.611812781
POLR2A	0.256147889	0.650262999
CCT5	2.648771115	10.83189791
PSMB4	1.483530272	5.938959336
SF3B2	0	-0.43962773
CCT7	2.689106705	11.03660247
HNRNPL	2.582766563	10.58614463
RPS7	0.815968265	3.035259174
EIF3A	1.39512899	5.502751763
ACTR2	1.286753401	5.037975126
ILF3	1.846256111	7.417878449
SF3B1	0.812291068	3.033672105
SNRNP200	1.253791404	4.883956177
DDOST	0.394737176	1.219006206
HUWE1	1.495829479	5.936864938
DDB1	0.162490327	0.243379634
HSPA9	0.143680578	0.184146242
COPA	0.343782547	1.012818953
RPL38	1.459434297	5.829313579
PRPF8	0.340264314	1.007958167
CCT3	2.271016223	9.244497854
XRCC6	0.580748682	2.030266593
RPS13	0.888981564	3.32030235
ATP2A2	0.977441219	3.742029292
RPS21	2.143456219	8.752776929
RPL14	0.926731792	3.517748852
VCP	0.276300764	0.762612558
PCBP1	0	-0.43962773
RPL36	1.586065913	6.350450629
UBA1	0	-0.43962773
RPL35	1.841638561	7.462689805
RPL6	1.002877634	3.816819459
DYNC1H1	0.289134549	0.788597757
RPL12	0.953349214	3.610595222
HNRNPC	1.540909669	6.12685648
UBA52	1.726195966	6.972944173
RPL27	1.541774944	6.163366949
RPS15A	1.080816852	4.157058622
RPL35A	1.30239189	5.131111883
PGK1	0.054097081	-0.194195047
HNRNPU	1.434624222	5.666617874
RPL10A	1.107332206	4.251596647
CLTC	0.49078472	1.664233517
RPLP2	1.547249549	6.207309354
RPL23	0.832790595	3.097159674
HNRNPK	0.864180756	3.245674865
RPL27A	1.463452844	5.816833163
RPS23	0.909407839	3.415192896
RPS12	0.814898201	3.010641125
EIF1	0.263168272	0.661275452
RPS5	1.07683096	4.157787999
RPS2	1.043907979	4.013538823
RPL31	0.931436533	3.515635106
RPS16	1.728537997	6.968727525
RPL37A	1.21249476	4.749160163
RPS9	1.4437843	5.734772503
RPL30	1.116559562	4.327484065
RPL18	1.553050154	6.204737668
RPL11	0.849237141	3.166913233
RPS19	2.065244555	8.410043039
RPS20	1.208246242	4.741970664
TUBB	1.736166513	6.970074524
RPS8	1.221866899	4.761793022
RPL13	1.128672033	4.381974381
RPS18	1.034162246	3.952042237
RPL19	1.076728685	4.185706888
RPS3	1.195576913	4.657867664
RPS11	1.310983474	5.14455077
GNB2L1	1.420223681	5.693663268
RPLP1	1.573863831	6.318422405
RPLP0	1.192357	4.646874203
RPL4	1.201193425	4.660515255
RPS6	0.914160088	3.43517558
RPS4X	0.774070341	2.833849082
RPL8	1.607832814	6.435384381
RPL3	0.917498119	3.434564077
EEF2	0.296126046	0.819120901
TTTY17A	0	-0.43962773
SNORD115-20	0	-0.43962773
SNORD88B	0	-0.43962773
SNORA35	0	-0.43962773
SNORD90	0	-0.43962773
SNORD116-19	0	-0.43962773
TTTY21	0	-0.43962773
SNAR-A13	0	-0.43962773
SNORD16	0	-0.43962773
PRR20C	0	-0.43962773
SNORD88C	0	-0.43962773
KRTAP22-1	0	-0.43962773
TTTY19	0	-0.43962773
TTTY17B	0	-0.43962773
SNORD11B	0	-0.43962773
VTRNA1-1	0	-0.43962773
SNORA11C	0	-0.43962773
DEFB114	0	-0.43962773
TTTY22	0	-0.43962773
SNAR-D	0	-0.43962773
KRTAP19-2	0	-0.43962773
SNORD103A	0	-0.43962773
SNORD9	0	-0.43962773
DEFB113	0	-0.43962773
SNAR-H	0	-0.43962773
SNORD124	0	-0.43962773
PRR20B	0	-0.43962773
SNORD46	0	-0.43962773
SNORD12B	0	-0.43962773
SNORA70C	0	-0.43962773
SNAR-C3	0	-0.43962773
TEX28	0	-0.43962773
SNAR-I	0	-0.43962773
SNAR-G2	0	-0.43962773
DUX4	0	-0.43962773
TXNDC8	0	-0.43962773
TTTY12	0	-0.43962773
MRGPRG	0	-0.43962773
TTTY3B	0	-0.43962773
DEFB105A	0	-0.43962773
HSFX1	0	-0.43962773
KRTAP20-1	0	-0.43962773
LOC653545	0	-0.43962773
SNORA36C	0	-0.43962773
PRAMEF3	0	-0.43962773
DEFB130	-0.006912169	-0.468522181
SNORD23	0	-0.43962773
DEFB121	0	-0.43962773
TTTY13	0	-0.43962773
KRTAP23-1	0	-0.43962773
DEFB128	0	-0.43962773
KRTAP6-2	0	-0.43962773
KRTAP6-1	0	-0.43962773
LOC100169752	0	-0.43962773
DEFB115	0	-0.43962773
SNAR-E	0	-0.43962773
DEFB134	0	-0.43962773
KRTAP20-3	-0.004475691	-0.458337145
SNORA30	0	-0.43962773
OR2T29	0	-0.43962773
DEFB112	0	-0.43962773
KRTAP19-4	0	-0.43962773
KRTAP25-1	-0.03833947	-0.60290336
S100A7L2	0	-0.43962773
NMS	0	-0.43962773
DEFB108B	0	-0.43962773
DEFB110	0	-0.43962773
DEFB122	0	-0.43962773
KRTAP21-1	0	-0.43962773
KRTAP19-7	0	-0.43962773
DEFB135	0	-0.43962773
TTTY11	0	-0.43962773
TTTY23	0	-0.43962773
SNAR-A2	0	-0.43962773
C11orf40	0	-0.43962773
SUN5	0	-0.43962773
PPIAL4B	0	-0.43962773
DEFB106A	0	-0.43962773
OR51A2	0	-0.43962773
SNAR-F	0	-0.43962773
OR5H15	0	-0.43962773
OR5L2	0	-0.43962773
KRTAP19-6	0	-0.43962773
P2RX6P	0	-0.43962773
TTTY8	0	-0.43962773
OR5D16	0	-0.43962773
OR8H3	0	-0.43962773
DEFB116	-0.028602794	-0.564193393
OR5L1	0	-0.43962773
OR4S2	0	-0.43962773
TREML2P1	0	-0.43962773
OR2T27	0	-0.43962773
KRTAP13-3	0	-0.43962773
OR1S1	0	-0.43962773
OR5M3	0	-0.43962773
OR5R1	0	-0.43962773
CDY1	-0.008775976	-0.476313325
OR5H1	0	-0.43962773
SPINT4	0	-0.43962773
FAM24A	0	-0.43962773
SNORD8	0	-0.43962773
OR5H14	0	-0.43962773
C13orf28	0	-0.43962773
DEFB136	0	-0.43962773
TTTY18	0	-0.43962773
OR4A15	0	-0.43962773
OR5D13	0	-0.43962773
KRTAP15-1	0	-0.43962773
SNORA70B	0	-0.43962773
OR11H1	0	-0.43962773
TTTY20	0	-0.43962773
OR10X1	0	-0.43962773
SNAR-C4	0	-0.43962773
OR2M5	0	-0.43962773
RBMY3AP	0	-0.43962773
C11orf64	0	-0.43962773
SCARNA23	0	-0.43962773
OR5F1	0	-0.43962773
OR8U1	0	-0.43962773
OR5D14	0	-0.43962773
SCARNA27	0	-0.43962773
OR8J3	0	-0.43962773
OR5K4	0	-0.43962773
SNORA19	0	-0.43962773
OR5B17	0	-0.43962773
SNORA58	0	-0.43962773
SCARNA14	0	-0.43962773
SNAR-A3	0	-0.43962773
OR4A5	0	-0.43962773
SNORA69	0	-0.43962773
SPANXN4	0	-0.43962773
OR4K17	0	-0.43962773
OR4S1	0	-0.43962773
OR5M1	0	-0.43962773
OR4C46	0	-0.43962773
OR4F17	0	-0.43962773
OR10Z1	0	-0.43962773
